
U	S3009604	4F/17F	1,188萬元	1,188萬元	17年	3房2廳	21.89坪	21.89坪	無	台北橋花園大廈 新北市三重區-中央南路	魔術空間捷運宅(台灣房屋曾莉萍)	Sun Apr 10 10:10:57 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3009604	=HYPERLINK(N76)	
U	S2979040	2F/27F	988萬元	988萬元	19年	2房2廳	28.602坪	28.602坪	無	佳昌大都會 新北市三重區-成功路	捷運三重站2房集美學區(宋)	Sun Apr 10 10:10:58 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2979040	=HYPERLINK(N77)	
U	S2966372	2F/7F	820萬元	820萬元	20年	2房2廳	15.852坪	15.852坪	無	新北市三重區-仁昌街	三重國小電梯2房~可塑3房~低總價~蓁	Sun Apr 10 10:10:58 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2966372	=HYPERLINK(N78)	
P	S3001094	3F/5F	1,180萬元	1,180萬元	32年	4房2廳	32.47坪	32.47坪	無	新北市三重區-頂崁街	二重國小3樓~出價談~正雄服務您安心	Sun Apr 10 10:10:59 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3001094	=HYPERLINK(N79)	
U	S2989551	1F/4F	850萬元	850萬元	41年	3房1廳	18.15坪	18.15坪	無	新北市三重區-車路頭街	454A-靜巷住家1樓	Sun Apr 10 10:11:00 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2989551	=HYPERLINK(N80)	
U	S2974797	3F/7F	1,180萬元	1,180萬元	21年	4房2廳	26.59坪	26.59坪	無	新北市三重區-三民街	~免整理~209G三民極品華廈	Sun Apr 10 10:11:02 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2974797	=HYPERLINK(N81)	
U	S2997613	4F/17F	1,188萬元	1,188萬元	18年	3房2廳	21.89坪	21.89坪	無	台北橋花園大廈 新北市三重區-中央南路	台北橋捷運電梯2房	Sun Apr 10 10:11:04 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2997613	=HYPERLINK(N82)	
U	S3001300	1F/3F	1,138萬元	1,138萬元	46年	3房2廳	19.22坪	19.22坪	無	土地8.97坪 新北市三重區-車路頭街	花園住家好停車超級美寓一樓屋主專任委託	Sun Apr 10 10:11:06 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3001300	=HYPERLINK(N83)	
U	S2990225	16F/17F	1,158萬元	1,158萬元	5年	2房1廳	21.47坪	21.47坪	無	冠德美麗新境 新北市三重區-重新路五段	無敵景觀捷運共構高樓層制震優質住宅	Sun Apr 10 10:11:12 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2990225	=HYPERLINK(N84)	
U	S2934668	5F/7F	1,180萬元	1,180萬元	19年	3房2廳	28.9坪	28.9坪	無	常勝江山 新北市三重區-仁義街	~~~重陽橋華廈首購最愛~~~	Sun Apr 10 10:11:14 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2934668	=HYPERLINK(N85)	
