
N	S3075224	1F/4F	830萬元	830萬元	31年	2房3廳	31.62坪	31.62坪	無	新北市汐止區-保長路	////保長路美公寓一樓////	Wed May 04 22:00:50 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3075224	=HYPERLINK(N68)	
N	S3099572	2F/17F	888萬元	888萬元	20年	2房2廳	38.03坪	38.03坪	平面式停車位，已含售金內	劍橋 新北市汐止區-樟樹二路	❉劍橋超優低總2房車❉成家易	Wed May 04 22:00:51 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3099572	=HYPERLINK(N69)	
N	S3068068	1F/7F	980萬元	980萬元	22年	4房2廳	36.53坪	36.53坪	無	原鄉社區 新北市汐止區-鄉長路二段	近車站一樓庭園四房	Wed May 04 22:00:52 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3068068	=HYPERLINK(N70)	
N	S3060006	13F/17F	1,088萬元	1,088萬元	18年	3房2廳	32.31坪	32.31坪	機械式停車位，已含售金內	萬事OK 新北市汐止區-中興路	萬事閃亮三房+車位	Wed May 04 22:00:53 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3060006	=HYPERLINK(N71)	
N	S3094696	8F/24F	1,100萬元	1,100萬元	21年	3房2廳	31.68坪	31.68坪	無	宏國大鎮 新北市汐止區-大同路二段	『議價找小歐』１０％低公設宏國面汐小３房	Wed May 04 22:00:53 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3094696	=HYPERLINK(N72)	
N	S3104878	1F/19F	1,150萬元	1,150萬元	19年	3房2廳	23.1坪	23.1坪	平面式停車位，已含售金內	國泰民安 新北市汐止區-建成路	國泰民安收租店面+車位(建成路)	Wed May 04 22:00:54 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3104878	=HYPERLINK(N73)	
N	S3081966	2F/9F	1,190萬元	1,190萬元	10年	3房2廳	32.52坪	32.52坪	無	皇家帝寶 新北市汐止區-仁愛路	(汐止恩豪)推薦便宜皇家帝寶邊間3房	Wed May 04 22:00:55 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3081966	=HYPERLINK(N74)	
N	S2971527	11F/15F	1,068萬元	1,068萬元	1年	1房1廳	18.05坪	18.05坪	平面式停車位，已含售金內	隱馥玉 新北市汐止區-中興路	汐止中興路新交屋/唯一小套房釋出	Wed May 04 22:00:56 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S2971527	=HYPERLINK(N75)	
N	S3065821	15F/16F	898萬元	898萬元	19年	2房2廳	27.26坪	27.26坪	無	不明 新北市汐止區-福德一路	交通便利生活機能佳高樓層希有試出美裝房	Wed May 04 22:00:58 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3065821	=HYPERLINK(N76)	
N	S3061778	2F/8F	998萬元	998萬元	17年	3房2廳	30.453坪	30.453坪	無	綠園道 新北市汐止區-樟樹二路	【出價就談】綠園典雅三房	Wed May 04 22:00:58 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3061778	=HYPERLINK(N77)	
N	S3053242	5F/6F	1,050萬元	1,050萬元	24年	3房2廳	48.83坪	48.83坪	無	忠孝綠洲 新北市汐止區-樟樹一路	樟樹三房~住商南港站前加盟店~忠孝綠洲	Wed May 04 22:00:59 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3053242	=HYPERLINK(N78)	
N	S3019964	2F/28F	1,180萬元	1,180萬元	16年	3房2廳	46.4坪	46.4坪	平面式停車位，已含售金內	白雲山莊 新北市汐止區-東勢街	白雲山莊三房~買屋請指名中信房屋李奕朋	Wed May 04 22:01:00 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3019964	=HYPERLINK(N79)	
N	S3041241	3F/6F	898萬元	898萬元	22年	3房2廳	26.33坪	26.33坪	無	台北理想家 新北市汐止區-招商街	汐止車站招商電梯華廈3房2廳2衛裝潢美屋	Wed May 04 22:01:00 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3041241	=HYPERLINK(N80)	
P	S3092848	4F/5F	998萬元	998萬元	32年	3房2廳	26.48坪	26.48坪	無	伯爵村 新北市汐止區-龍安路	汐科超稀有增值公寓~近汐科站	Wed May 04 22:01:01 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3092848	=HYPERLINK(N81)	
P	S3077428	4F/5F	950萬元	950萬元	27年	3房2廳	32.225坪	32.225坪	無	台北小鎮 新北市汐止區-樟樹一路	樟樹方正美寓～格局方正～低公設大三房	Wed May 04 22:01:03 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3077428	=HYPERLINK(N82)	
N	S3081900	15F/19F	1,028萬元	1,028萬元	19年	3房2廳	28.51坪	28.51坪	無	國泰民安 新北市汐止區-建成路	建成路國泰民安美3房低總價近星光橋	Wed May 04 22:01:03 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3081900	=HYPERLINK(N83)	
N	S3087006	6F/29F	880萬元	880萬元	3年	1房1廳	20.24坪	20.24坪	無	甲山林天廈 新北市汐止區-大同路二段	急售~~甲山林天廈美屋	Wed May 04 22:01:04 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3087006	=HYPERLINK(N84)	
N	S3100363	2F/7F	998萬元	998萬元	22年	3房2廳	31.36坪	31.36坪	無	樟樹華廈 新北市汐止區-樟樹一路	樟樹國小近汐科華廈三房	Wed May 04 22:01:05 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3100363	=HYPERLINK(N85)	
N	S3119073	1F/4F	820萬元	820萬元	31年	2房2廳	31.61坪	31.61坪	無	新北市汐止區-保長路	保長路店住辦大一樓門口可停車-蘇佳琪	Wed May 04 22:01:05 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3119073	=HYPERLINK(N86)	
N	S3075410	2F/7F	950萬元	950萬元	24年	3房2廳	27.86坪	27.86坪	無	康寧華廈 新北市汐止區-康寧街	【出價就談】近東湖低總價電梯三房	Wed May 04 22:01:07 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3075410	=HYPERLINK(N87)	
N	S3119045	2F/8F	990萬元	990萬元	22年	2房2廳	27.78坪	27.78坪	無	東方黎明 新北市汐止區-福德二路	東方黎明優質大2房	Wed May 04 22:01:08 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3119045	=HYPERLINK(N88)	
N	S3099430	15F/16F	898萬元	898萬元	19年	2房2廳	27.26坪	27.26坪	無	生活大國 新北市汐止區-福德一路	(.◕‿◕.)福德生活典雅大兩房ღ	Wed May 04 22:01:09 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3099430	=HYPERLINK(N89)	
P	S3061742	5F/5F	990萬元	990萬元	32年	3房2廳	27.873坪	27.873坪	無	新北市汐止區-福德一路	福德優質頂加～漂亮格局方正有頂樓加蓋~	Wed May 04 22:01:09 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3061742	=HYPERLINK(N90)	
N	S3043621	8F/8F	880萬元	880萬元	15年	2房1廳	24.01坪	24.01坪	無	綠大地 新北市汐止區-長江街	B-25綠大地美景2房	Wed May 04 22:01:10 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3043621	=HYPERLINK(N91)	
N	S3062710	8F/16F	998萬元	998萬元	19年	3房2廳	32.4坪	32.4坪	無	生活大國 新北市汐止區-福德一路	景觀成家三房	Wed May 04 22:01:10 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3062710	=HYPERLINK(N92)	
N	S3082693	9F/14F	1,088萬元	1,088萬元	7年	2房1廳	23.26坪	23.26坪	無	長堤 新北市汐止區-福德一路	長堤裝潢美兩房	Wed May 04 22:01:12 PDT 2016	https://m.591.com.tw/mobile-detail.html?houseId=S3082693	=HYPERLINK(N93)	
